Date,LogReturn,Open,High,Low,Close,Volume,MarketCap,FearAndGreed,VDD,CBBI,GoldClose,DaysSinceHalving,S&P500,M2SL,InflationUSA,DXY,VIX of VIX,HashRate,MA5,MA20
"2024-12-03,""0,00140"",""95854,59743"",""96297,20006"",""93629,55989"",""96002,16214"",67067810961,1899532461067,78,""0,69176"",""78,11"",""2643,665"",227,""6049,88"",""21447,6"",""2,3"",""106,36"",""86,43"",""811 042 000 000 000 000 000,00"",""96611,56724"",""94368,34031"""
"2024-12-02,""-0,01472"",""97276,01012"",""98152,59825"",""94482,86334"",""95865,30163"",72680784305,1896994040043,76,""0,6972"",""78,16"",""2639,06"",226,""6047,15"",""21447,6"",""2,3"",""106,45"",""87,11"",""645 774 000 000 000 000 000,00"",""96541,62785"",""94090,38583"""
"2024-12-01,""0,00841"",""96461,3368"",""97888,12727"",""95770,18447"",""97279,79292"",36590695296,1924784957144,80,""0,70251"",""77,99"",""2650,455"",225,""6032,38"",""21447,6"",""2,3"",""105,74"",""86,32"",""803 404 000 000 000 000 000,00"",""96561,07321"",""93599,64988"""
"2024-11-30,""-0,01039"",""97468,81245"",""97499,3424"",""96144,21983"",""96449,05581"",31634227866,1908652965665,81,""0,7082"",""79,33"",""2650,455"",224,""6032,38"",""21447,6"",""2,7"",""105,74"",""86,32"",""833 913 000 000 000 000 000,00"",""95502,17799"",""93191,88316"""
"2024-11-29,""0,01880"",""95653,95259"",""98693,16817"",""95407,88637"",""97461,52371"",54968682476,1928820661174,84,""0,71358"",""78,7"",""2650,455"",223,""6032,38"",""21447,6"",""2,7"",""105,74"",""86,32"",""615 265 000 000 000 000 000,00"",""94832,82587"",""92297,81273"""
"2024-11-28,""-0,00314"",""95954,94488"",""96650,20377"",""94677,3543"",""95652,46516"",52260008261,1892868519536,78,""0,71869"",""78,11"",""2637,585"",222,""5998,74"",""21447,6"",""2,7"",""106,14"",""88,36"",""722 046 000 000 000 000 000,00"",""94943,28531"",""91304,4655"""
"2024-11-27,""0,04233"",""91978,13858"",""97361,18194"",""91778,66121"",""95962,52842"",71133452438,1898774680758,77,""0,72334"",""78,16"",""2635,945"",221,""5998,74"",""21447,6"",""2,7"",""106,08"",""88,36"",""676 283 000 000 000 000 000,00"",""95368,24823"",""90282,51541"""
"2024-11-26,""-0,01199"",""93087,27999"",""94991,74997"",""90770,81504"",""91985,31683"",91656519855,1820053564596,75,""0,72898"",""77,1"",""2633,225"",220,""6021,63"",""21447,6"",""2,7"",""107,01"",""87,71"",""706 792 000 000 000 000 000,00"",""95975,27496"",""89436,17549"""
"2024-11-25,""-0,05177"",""98033,4427"",""98935,03181"",""92642,91486"",""93102,29521"",80909462490,1842257290731,79,""0,73425"",""79,34"",""2625,23"",219,""5987,37"",""21447,6"",""2,7"",""106,82"",""88,79"",""859 337 000 000 000 000 000,00"",""97279,15711"",""88517,05879"""
"2024-11-24,""0,00261"",""97778,09736"",""98647,17758"",""95788,077"",""98013,82091"",51712020623,1937919789263,82,""0,74021"",""78,7"",""2705,95"",218,""5969,34"",""21447,6"",""2,7"",""107,55"",""95,13"",""681 368 000 000 000 000 000,00"",""97526,59707"",""87008,94012"""
"2024-11-23,""-0,01249"",""99006,74227"",""99014,67786"",""97232,89312"",""97777,27976"",44414644677,1934627418210,80,""0,74778"",""78,11"",""2705,95"",217,""5969,34"",""21447,6"",""2,7"",""107,55"",""95,13"",""701 707 000 000 000 000 000,00"",""96392,5913"",""85431,7943"""
"2024-11-22,""0,00517"",""98496,42949"",""99655,50108"",""97222,66704"",""98997,66208"",78473580551,1958954432127,93,""0,75499"",""78,16"",""2705,95"",216,""5969,34"",""21447,6"",""2,7"",""107,55"",""95,13"",""727 131 000 000 000 000 000,00"",""94945,66415"",""83839,34448"""
"2024-11-21,""0,04317"",""94334,64328"",""99014,21491"",""94132,60097"",""98504,72759"",106024505582,1948797365353,94,""0,76328"",""77,101"",""2669,665"",215,""5948,71"",""21447,6"",""2,7"",""106,97"",""101,3"",""732 216 000 000 000 000 000,00"",""93115,30198"",""82301,68917"""
"2024-11-20,""0,02135"",""92341,89416"",""94902,02358"",""91619,4964"",""94339,49503"",71730956426,1866427425876,82,""0,77136"",""79,35"",""2650,265"",214,""5917,11"",""21447,6"",""2,7"",""106,68"",""102,2"",""747 471 000 000 000 000 000,00"",""91526,0515"",""80993,42469"""
"2024-11-19,""0,01974"",""90536,81153"",""94002,87011"",""90426,98538"",""92343,79205"",74521048295,""1,83E+12"",83,""0,77833"",""78,7"",""2632,265"",213,""5916,98"",""21447,6"",""2,7"",""106,21"",""97,37"",""889 846 000 000 000 000 000,00"",""90871,35389"",""79828,76119"""
"2024-11-18,""0,00768"",""89843,71548"",""92596,78892"",""89393,59057"",""90542,644"",75535775084,1791255587562,90,""0,78434"",""78,11"",""2611,87"",212,""5893,62"",""21447,6"",""2,7"",""106,28"",""93,81"",""788 251 000 000 000 000 000,00"",""89852,68173"",""78870,7032"""
"2024-11-17,""-0,00792"",""90558,46311"",""91433,0405"",""88741,66583"",""89845,85121"",46350159305,1777526304284,83,""0,79013"",""78,16"",""2562,33"",211,""5870,62"",""21447,6"",""2,7"",""106,69"",""98,93"",""757 934 000 000 000 000 000,00"",""89860,98627"",""77969,36859"""
